GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
310,105,2,3,3.5,8.01,No,0.71
307,105,2,2.5,4.5,8.12,Yes,0.67
329,111,4,4.5,4,9.01,Yes,0.81
300,105,1,1,2,7.8,No,0.58
329,114,5,4,5,9.3,Yes,0.86
300,104,3,3.5,3,8.16,No,0.71
318,103,3,4,4.5,8.49,Yes,0.71
322,110,4,4,5,9.13,Yes,0.86
315,105,2,2,2.5,7.65,No,0.39
332,119,4,5,4.5,9.24,Yes,0.9
336,118,5,4.5,5,9.53,Yes,0.94
322,105,2,3,3,8.45,Yes,0.65
327,113,4,4.5,5,9.14,No,0.83
327,106,4,4,4.5,8.75,Yes,0.76
314,107,2,2.5,4,8.56,No,0.63
331,112,5,4,5,9.8,Yes,0.94
338,115,5,4.5,5,9.23,Yes,0.91
308,109,2,3,4,8.45,No,0.71
298,100,3,2.5,4,7.95,Yes,0.58
325,108,4,4.5,4,9.06,Yes,0.79
307,109,3,4,3,8,Yes,0.62
327,115,4,3.5,4,9.14,No,0.79
295,99,2,2.5,3,7.65,No,0.57
316,109,3,3.5,3,8.76,No,0.77
313,106,2,2.5,2,8.43,No,0.62
322,115,5,4,4.5,9.36,Yes,0.92
312,105,2,2.5,3,8.12,No,0.64
298,97,2,2,3,7.21,No,0.45
310,110,1,1.5,4,7.23,Yes,0.58
338,118,4,3,4.5,9.4,Yes,0.91
305,104,2,2.5,1.5,7.79,No,0.53
312,107,2,2.5,3.5,8.27,No,0.69
317,106,2,2,3.5,8.12,No,0.73
338,120,4,5,5,9.66,Yes,0.95
319,108,2,2.5,3,8.76,No,0.66
323,110,5,4,5,8.98,Yes,0.87
327,116,4,4,4.5,9.48,Yes,0.9
311,106,2,3.5,3,8.26,Yes,0.79
304,107,3,3.5,3,7.86,No,0.57
340,120,5,4.5,4.5,9.91,Yes,0.97
311,104,2,2.5,3.5,8.48,No,0.71
301,104,3,3.5,4,8.12,Yes,0.68
314,107,3,3,3.5,8.17,Yes,0.73
320,113,2,2,2.5,8.64,Yes,0.81
325,106,3,3.5,4,8.4,Yes,0.52
310,106,2,3.5,2.5,8.33,No,0.73
295,96,2,1.5,2,7.34,No,0.47
303,99,3,2,2.5,7.66,No,0.36
323,110,4,4,5,8.88,Yes,0.81
300,98,1,2,2.5,8.02,No,0.61
317,105,3,3.5,3,8.56,No,0.68
324,111,5,4.5,4,9.16,Yes,0.9
334,117,5,4,4.5,9.07,Yes,0.89
312,109,2,2.5,4,9.02,No,0.8
329,110,2,4,3,9.15,Yes,0.84
304,105,2,3,3,8.2,Yes,0.54
320,104,3,3.5,4.5,8.34,Yes,0.74
325,112,2,3,3.5,8.96,Yes,0.8
312,105,2,1.5,3,8.46,No,0.66
305,108,5,3,3,8.48,No,0.61
302,99,1,2,2,7.25,No,0.57
324,115,3,3.5,3,8.76,Yes,0.7
312,105,3,2,3,8.02,Yes,0.5
308,103,2,2.5,4,8.36,Yes,0.7
314,108,4,4.5,4,9.04,Yes,0.84
327,109,3,3.5,4,8.77,Yes,0.79
326,113,5,4.5,4,9.4,Yes,0.91
319,112,3,2.5,2,8.71,Yes,0.78
331,115,5,4.5,3.5,9.36,Yes,0.93
316,107,2,3.5,3.5,8.64,Yes,0.57
326,108,3,3,3.5,8.89,No,0.8
316,100,2,1.5,3,8.16,Yes,0.71
307,101,3,4,3,8.2,No,0.47
297,99,4,3,3.5,7.81,No,0.54
325,110,2,3,2.5,8.76,Yes,0.75
339,119,5,4.5,4,9.7,No,0.89
311,101,3,2,2.5,7.64,Yes,0.62
317,106,1,1.5,3.5,7.65,Yes,0.61
328,110,4,4,2.5,9.02,Yes,0.81
325,111,4,4,4.5,9.11,Yes,0.83
316,106,2,2.5,4,8.32,No,0.72
331,116,5,5,5,9.38,Yes,0.93
329,113,4,4,3.5,9.36,Yes,0.89
319,102,3,2.5,2.5,8.37,No,0.68
311,98,1,1,2.5,7.46,No,0.57
314,103,2,2,3,8.21,No,0.65
307,105,2,2,3.5,8.1,No,0.53
324,113,5,4,5,9.25,Yes,0.92
327,111,4,4,4.5,9,Yes,0.84
308,105,4,3,2.5,7.95,Yes,0.67
332,118,5,5,5,9.64,Yes,0.94
306,103,3,3.5,3,8.21,No,0.64
300,97,2,3,3,8.1,Yes,0.65
316,109,4,4.5,3.5,8.76,Yes,0.74
315,100,1,2,2.5,7.95,No,0.58
340,120,4,5,5,9.5,Yes,0.96
327,112,3,3,3,8.72,Yes,0.74
322,110,3,3.5,3,8.96,Yes,0.78
321,109,4,4,4,9.13,Yes,0.85
324,112,4,4,2.5,8.1,Yes,0.72
311,99,1,2.5,3,8.43,Yes,0.71
332,112,1,1.5,3,8.66,Yes,0.79
307,102,3,3,3,8.27,No,0.73
337,118,4,4.5,4.5,9.65,Yes,0.92
303,98,1,2,2.5,7.65,No,0.56
298,101,2,1.5,2,7.86,No,0.54
326,102,4,5,5,8.76,Yes,0.77
333,118,5,5,5,9.35,Yes,0.92
301,99,3,2.5,2,8.45,Yes,0.68
320,108,3,3.5,5,8.97,Yes,0.84
309,99,3,4,4,8.56,No,0.76
308,108,3,3.5,3.5,8.22,No,0.61
311,105,2,3,2,8.12,Yes,0.73
321,109,3,3.5,3.5,8.8,Yes,0.74
319,103,3,2.5,4,8.76,Yes,0.73
338,117,4,3.5,4.5,9.46,Yes,0.91
315,106,3,4.5,3.5,8.42,No,0.72
328,113,4,4,2.5,8.77,Yes,0.83
332,118,2,4.5,3.5,9.36,Yes,0.9
301,96,1,3,4,7.56,No,0.54
295,93,1,2,2,7.2,No,0.46
320,110,5,4,4,9.27,Yes,0.87
305,102,2,1.5,2.5,7.64,No,0.59
325,110,4,3.5,4,8.67,Yes,0.73
317,110,3,4,4.5,9.11,Yes,0.8
300,100,3,3,3.5,8.26,No,0.62
321,109,4,4,4,8.68,Yes,0.69
316,99,2,2.5,3,9,No,0.7
330,116,5,5,4.5,9.36,Yes,0.93
329,113,5,5,4.5,9.45,Yes,0.89
321,111,5,5,5,9.45,Yes,0.93
299,97,3,5,3.5,7.66,No,0.38
321,112,5,5,5,9.06,Yes,0.86
310,107,3,3.5,3.5,8.67,No,0.76
320,104,3,3,3.5,8.74,Yes,0.76
304,105,1,3,1.5,7.5,No,0.52
312,109,3,3,3,8.69,No,0.77
311,104,3,4.5,4.5,8.43,No,0.7
319,110,3,3,2.5,8.79,No,0.72
334,116,4,4,3,8,Yes,0.78
330,115,5,4.5,3,9.34,Yes,0.9
312,100,2,1.5,3.5,7.9,Yes,0.56
326,112,3,3.5,3,9.1,Yes,0.84
314,105,2,2.5,2,7.64,No,0.7
301,107,3,3.5,3.5,8.34,Yes,0.62
320,112,2,3.5,3.5,8.78,Yes,0.73
321,114,4,4,5,9.12,No,0.85
298,92,1,2,2,7.88,No,0.51
330,114,4,4.5,3,9.17,Yes,0.86
304,104,3,2.5,2,8.12,No,0.62
340,112,4,5,4.5,9.66,Yes,0.94
329,114,2,2,4,8.56,Yes,0.72
296,95,2,3,2,7.54,Yes,0.44
305,106,2,3,3,8.16,No,0.64
314,99,4,3.5,4.5,8.73,Yes,0.71
303,100,2,3,3.5,8.06,Yes,0.64
320,108,3,3.5,4,8.44,Yes,0.76
321,110,3,3.5,5,8.85,Yes,0.82
310,103,2,2.5,2.5,8.24,No,0.72
319,110,3,3.5,3.5,9.04,No,0.82
324,113,4,4.5,4.5,9.25,Yes,0.89
325,112,4,3.5,3.5,8.92,No,0.55
295,101,2,2.5,2,7.86,No,0.69
340,115,5,4.5,4.5,9.45,Yes,0.94
321,102,3,3.5,4,9.01,Yes,0.8
316,102,2,4,3.5,8.15,No,0.67
307,105,2,2.5,3,7.65,No,0.58
323,113,4,4,4.5,9.23,Yes,0.89
327,113,4,3.5,3,8.69,Yes,0.8
316,105,3,3,3.5,8.73,No,0.72
309,100,2,3,3,8.1,No,0.48
298,105,3,3.5,4,8.54,No,0.69
310,102,3,3.5,4,8.02,Yes,0.66
325,114,4,3,2,8.4,No,0.7
324,111,4,3,3,9.01,Yes,0.82
325,112,4,4,4,9,Yes,0.8
314,102,4,2.5,2,7.88,Yes,0.59
293,97,2,2,4,7.8,Yes,0.64
321,111,3,3.5,4,8.83,Yes,0.77
333,119,5,5,4.5,9.78,Yes,0.96
312,106,3,3,5,8.57,No,0.71
325,112,4,4,4.5,9.17,Yes,0.85
300,102,3,3.5,2.5,8.17,No,0.63
324,111,3,2.5,1.5,8.79,Yes,0.7
312,101,2,2.5,3.5,8.04,Yes,0.68
313,102,3,2,3,8.27,No,0.64
323,107,3,3.5,3.5,8.55,Yes,0.73
324,107,4,4,4.5,8.87,Yes,0.76
317,107,3,3.5,3,8.68,Yes,0.84
324,110,4,3,3.5,8.97,Yes,0.84
333,117,4,5,4,9.66,Yes,0.95
309,105,4,3.5,2,8.18,No,0.65
329,119,4,4.5,4.5,9.16,Yes,0.9
300,100,3,2,3,8.66,Yes,0.64
329,111,4,4.5,4.5,9.18,Yes,0.87
324,110,3,3.5,3,9.22,Yes,0.89
321,109,3,3,4,8.2,Yes,0.75
324,107,5,3.5,4,8.66,Yes,0.81
312,110,2,3.5,3,8.53,No,0.64
312,107,3,3,3,8.46,Yes,0.75
318,110,3,4,3,8.8,No,0.63
322,110,3,3,3.5,8,No,0.7
301,106,4,2.5,3,8.47,No,0.57
300,99,1,1,2.5,8.01,No,0.58
314,105,3,3.5,2.5,8.3,No,0.54
321,111,3,2.5,3,8.9,Yes,0.8
305,96,4,3,4.5,8.26,No,0.54
326,116,2,4.5,3,9.08,Yes,0.8
311,104,3,4,3.5,8.13,Yes,0.74
319,106,3,3.5,2.5,8.33,Yes,0.74
328,116,4,5,3.5,9.6,Yes,0.93
319,105,3,3,3.5,8.67,Yes,0.73
312,108,3,3.5,3,8.53,No,0.69
327,104,5,3,3.5,8.84,Yes,0.71
315,105,3,2,2.5,8.48,No,0.75
329,114,5,4.5,5,9.19,Yes,0.86
294,93,1,1.5,2,7.36,No,0.46
322,112,3,3,4,8.62,Yes,0.76
321,112,3,3,4.5,8.95,Yes,0.77
327,113,4,4.5,4.5,9.04,No,0.84
339,116,4,4,3.5,9.8,Yes,0.96
316,103,3,3.5,2,7.68,No,0.52
305,105,2,3,2,8.23,No,0.67
311,104,3,3.5,2,8.2,Yes,0.61
323,108,5,4,4,8.74,Yes,0.81
314,110,3,4,4,8.8,No,0.75
310,106,4,4.5,4.5,9.04,Yes,0.66
324,112,4,4,3.5,8.77,Yes,0.8
314,109,4,3.5,4,8.77,Yes,0.82
326,116,3,3.5,4,9.14,Yes,0.81
317,101,3,3,2,7.94,Yes,0.49
323,113,3,4,4,8.88,Yes,0.79
298,98,2,1.5,2.5,7.5,Yes,0.44
306,103,2,2.5,3,8.36,No,0.69
316,101,2,2.5,2,8.32,Yes,0.61
321,109,3,3,3,8.54,Yes,0.79
327,108,5,5,3.5,9.13,Yes,0.87
306,105,2,3,2.5,8.26,No,0.73
334,116,4,4,3.5,9.54,Yes,0.93
301,100,3,3.5,3,8.04,No,0.67
334,114,4,4,4,9.43,Yes,0.93
331,119,4,5,4.5,9.34,Yes,0.9
318,110,1,2.5,3.5,8.54,Yes,0.67
323,112,5,4,4.5,8.78,No,0.79
324,105,3,3,4,8.75,No,0.79
319,108,3,3,3.5,8.54,Yes,0.71
340,115,5,5,4.5,9.06,Yes,0.95
324,111,3,2.5,2,8.8,Yes,0.79
317,104,2,4.5,4,8.47,No,0.57
325,107,3,3,3.5,9.11,Yes,0.84
325,114,3,3.5,3,9.04,Yes,0.76
340,120,4,4.5,4,9.92,Yes,0.97
318,107,3,3,3.5,8.27,Yes,0.74
328,116,5,5,5,9.5,Yes,0.94
317,103,2,2.5,2,8.15,No,0.65
312,103,3,5,4,8.45,No,0.76
310,106,4,1.5,2.5,8.36,No,0.57
333,113,5,4,4,9.28,Yes,0.89
309,108,3,2.5,3,8.12,No,0.72
304,101,2,2,2.5,7.66,No,0.38
297,100,1,1.5,2,7.9,No,0.52
327,114,3,3,3,9.02,No,0.61
299,100,3,2,3,7.42,No,0.42
311,101,2,2.5,3.5,8.34,Yes,0.7
318,106,2,4,4,7.92,Yes,0.64
316,111,4,4,5,8.54,No,0.71
323,113,3,4,3,9.32,Yes,0.85
308,106,3,3,3,8.24,No,0.58
308,106,3,3.5,2.5,8.21,Yes,0.75
315,99,2,3.5,3,7.89,No,0.63
312,98,1,3.5,3,8.18,Yes,0.64
294,95,1,1.5,1.5,7.64,No,0.49
300,95,2,3,1.5,8.22,Yes,0.62
304,100,2,3.5,3,8.22,No,0.63
326,112,3,3.5,3,9.05,Yes,0.74
320,110,2,4,3.5,8.56,No,0.72
312,106,3,4,3.5,8.79,Yes,0.81
334,120,5,4,5,9.87,Yes,0.97
313,102,3,2.5,2.5,8.68,No,0.71
316,98,1,1.5,2,7.43,No,0.49
319,105,4,4,4.5,8.66,Yes,0.77
337,117,5,5,5,9.87,Yes,0.96
329,111,4,4.5,4,9.23,Yes,0.89
334,119,5,4.5,4.5,9.48,Yes,0.94
304,97,2,1.5,2,7.64,No,0.47
308,101,2,3,4,7.9,No,0.68
310,101,3,3.5,5,8.65,Yes,0.71
321,111,4,4,4,8.97,Yes,0.87
295,99,1,2,1.5,7.57,No,0.37
327,103,3,4,4,8.3,Yes,0.74
317,100,2,3,2.5,8.57,No,0.68
326,114,3,3,3,9.11,Yes,0.83
306,100,2,3,3,8,No,0.48
314,107,2,2.5,4,8.27,No,0.72
321,114,5,4.5,4.5,9.16,Yes,0.87
306,106,2,2,2.5,8.14,No,0.61
308,104,2,2.5,3,8.07,No,0.65
296,101,1,2.5,3,7.68,No,0.6
304,100,2,2.5,3.5,8.07,No,0.64
317,103,3,2.5,3,8.54,Yes,0.73
323,108,3,3.5,3,8.6,No,0.45
302,102,3,3.5,5,8.33,No,0.65
320,111,4,4.5,3.5,8.87,Yes,0.85
302,102,1,2,1.5,8,No,0.5
311,107,4,4.5,4.5,9,Yes,0.78
311,102,3,4.5,4,8.64,Yes,0.68
305,103,2,2.5,3.5,8.13,No,0.59
331,115,5,4,3.5,9.44,Yes,0.92
299,100,1,1.5,2,7.89,No,0.59
314,102,2,2,2.5,8.24,No,0.64
302,99,3,2.5,3,7.45,No,0.52
305,105,2,3,4,8.13,No,0.66
322,107,3,3.5,3.5,8.46,Yes,0.71
297,96,2,2.5,2,7.43,No,0.34
300,99,1,3,2,6.8,Yes,0.36
322,112,4,3.5,2.5,9.02,Yes,0.73
340,114,5,4,4,9.6,Yes,0.9
313,104,3,4,4.5,8.65,No,0.73
324,114,5,5,4.5,9.08,Yes,0.89
322,103,4,3,2.5,8.02,Yes,0.61
313,107,2,2.5,2,8.5,Yes,0.53
327,118,4,5,5,9.67,Yes,0.93
324,112,5,5,5,9.08,Yes,0.88
318,101,5,3.5,5,8.78,Yes,0.78
318,109,1,3.5,3.5,9.12,No,0.78
336,119,4,4.5,4,9.62,Yes,0.95
335,117,5,5,5,9.82,Yes,0.96
316,110,3,4,4.5,8.78,Yes,0.69
320,110,5,5,5,9.2,Yes,0.88
299,100,2,3,3.5,7.88,No,0.68
315,103,1,1.5,2,7.86,No,0.57
326,110,3,3.5,3.5,8.76,Yes,0.79
319,106,3,4,3,8,Yes,0.65
320,103,3,3,3,7.7,No,0.64
303,105,5,5,4.5,8.65,No,0.77
307,107,2,3,3.5,8.52,Yes,0.78
317,107,2,3.5,3,8.28,No,0.66
336,119,5,4,3.5,9.8,Yes,0.97
328,112,4,4,4.5,9.1,Yes,0.78
315,107,2,4,3,8.5,Yes,0.56
331,117,4,4.5,5,9.42,Yes,0.94
299,102,3,4,3.5,8.62,No,0.56
334,119,5,4.5,5,9.54,Yes,0.94
308,102,2,2,3.5,7.98,Yes,0.58
303,102,3,3.5,3,8.5,No,0.62
320,110,5,5,4.5,9.22,Yes,0.92
324,110,3,3.5,3.5,9.04,Yes,0.82
302,99,2,1,2,7.97,No,0.56
301,99,2,3,2,8.22,No,0.64
312,99,1,1,1.5,8.01,Yes,0.52
326,114,4,4,3.5,9.16,Yes,0.86
335,118,5,4.5,3.5,9.44,Yes,0.93
318,100,2,2.5,3.5,8.54,Yes,0.71
301,97,2,3,3,7.88,Yes,0.44
322,109,5,4.5,3.5,8.8,No,0.76
323,104,3,4,4,8.44,Yes,0.73
290,100,1,1.5,2,7.56,No,0.47
309,105,5,3.5,3.5,8.56,No,0.71
325,110,4,4.5,4,8.96,Yes,0.79
318,109,3,3,3,8.5,No,0.67
315,105,3,2,2.5,8.34,No,0.7
311,103,3,2,4,8.09,No,0.64
324,112,4,4.5,4,9.22,Yes,0.86
298,101,4,2.5,4.5,7.69,Yes,0.53
322,110,3,4,5,8.64,Yes,0.85
312,104,3,3.5,3.5,8.42,No,0.74
301,104,2,3.5,3.5,7.89,Yes,0.68
307,108,2,4,3.5,7.7,No,0.48
313,98,3,2.5,4.5,8.3,Yes,0.76
322,110,5,4.5,4,8.97,No,0.78
305,102,2,2,2.5,8.18,No,0.62
296,99,2,2.5,2.5,8.03,No,0.61
290,104,4,2,2.5,7.46,No,0.45
326,112,4,4,3.5,9.12,Yes,0.84
319,103,4,4.5,3.5,8.66,No,0.76
298,98,2,4,3,8.03,No,0.34
307,105,4,3,3,7.94,No,0.62
332,117,4,4.5,4,9.1,No,0.87
308,103,2,3,3.5,8.49,No,0.66
323,107,4,3,2.5,8.48,Yes,0.78
311,99,2,2.5,3,7.98,No,0.65
300,101,3,3.5,2.5,7.88,No,0.59
312,104,3,3.5,4,8.09,No,0.71
315,104,3,4,2.5,8.1,No,0.65
308,108,4,4.5,5,8.34,No,0.77
299,106,2,4,4,8.4,No,0.64
311,104,2,2,2,8.3,No,0.42
335,117,5,5,5,9.56,Yes,0.94
308,110,4,3.5,3,8.6,No,0.7
296,99,2,3,3.5,7.28,No,0.47
316,105,2,2.5,2.5,8.2,Yes,0.49
316,103,2,2,4.5,8.74,No,0.69
309,104,2,2,2.5,8.26,No,0.65
312,103,3,3.5,4,8.78,No,0.67
322,110,5,5,4,9.1,Yes,0.88
316,110,3,3.5,4,8.56,No,0.75
302,110,3,4,4.5,8.5,No,0.65
312,107,4,4.5,4,8.65,Yes,0.73
298,99,1,1.5,3,7.46,No,0.53
324,113,4,4.5,4,8.79,No,0.76
